DATAFLOW,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2010,12.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2011,12.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2012,12.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2013,13.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2014,13.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2015,12.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2016,12.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2017,12.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2018,11.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AL,2019,11.7,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2010,21.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2011,21.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2012,21.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2013,21.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2014,21.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2015,22.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2016,22.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2017,22.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2018,22.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,AT,2019,22.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,BA,2010,14.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,BA,2011,14.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,BA,2012,14.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,BA,2013,14.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,BA,2014,13.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,BA,2015,13.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,BA,2016,13.5,
