DATAFLOW,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2010,18.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2011,18.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2012,18.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2013,19.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2014,18.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2015,18.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2016,18.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2017,17.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2018,18.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,AT,2019,18.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2010,20.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2011,21.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2012,22.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2013,20.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2014,20.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2015,20.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2016,19.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2017,19.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2018,18.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BE,2019,18.7,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2010,18.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2011,20.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2012,24.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2013,24.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2014,23.6,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2015,25.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2016,28.9,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2017,27.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2018,26.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,BG,2019,24.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2010,26.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2011,25.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2012,24.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2013,23.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2014,24.5,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2015,24.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2016,24.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CH,2017,24.9,
